01;OBECNÁ TŘÍDA
02;STROJNÍ SOUČÁSTI
03;STROJNÍ SOUČÁSTI - KOROZE A OCHRANA MATERIÁLU
04;SLÉVÁRENSTVÍ
05;SVAŘOVÁNÍ, PÁJENÍ, ŘEZÁNÍ KOVŮ A PLASTŮ
06;TOPENÍ, PRŮMYSLOVÉ PECE, VAŘIDLA A TOPIDLA
07;KOTLE
08;TURBÍNY
09;SPALOVACÍ MOTORY PÍSTOVÉ
10;KOMPRESORY, VAKUOVÁ TECHNIKA A PNEUMATICKÁ ZAŘÍZENÍ
11;ČERPADLA, HYDRAULICKÁ ZAŘÍZENÍ
12;VZDUCHOTECHNICKÁ ZAŘÍZENÍ
13;ARMATURY A POTRUBÍ
14;CHLADICÍ TECHNIKA
15;VÝROBKY Z PLECHU A DRÁTU
16;VÝROBKY Z PLECHU A DRÁTU
17;JEMNÁ MECHANIKA
18;PRŮMYSLOVÁ AUTOMATIZACE
19;OPTICKÉ PŘÍSTROJE, ZAŘÍZENÍ PRO KINEMATOGRAFII A REPROGRAFII
20;OBRÁBĚCÍ STROJE NA KOVY
21;TVÁŘECÍ STROJE
22;NÁSTROJE
23;NÁŘADÍ
24;UPÍNACÍ NÁŘADÍ
25;MĚŘICÍ A KONTROLNÍ NÁŘADÍ A PŘÍSTROJE
26;ZAŘÍZENÍ DOPRAVNÍ A PRO MANIPULACI S MATERIÁLEM
27;ZDVIHACÍ ZAŘÍZENÍ, STROJE PRO POVRCHOVOU TĚŽBU, STROJE A ZAŘÍZENÍ PRO ZEMNÍ, STAVEBNÍ A SILNIČNÍ PRÁCE
28;KOLEJOVÁ VOZIDLA
29;KOLEJOVÁ VOZIDLA
30;SILNIČNÍ VOZIDLA
31;LETECTVÍ A KOSMONAUTIKA
32;LODĚ A PLOVOUCÍ ZAŘÍZENÍ
33;ELEKTROTECHNIKA - ELEKTROTECHNICKÉ PŘEDPISY
34;ELEKTROTECHNIKA
35;ELEKTROTECHNIKA
36;ELEKTROTECHNIKA
37;ELEKTROTECHNIKA - ENERGETIKA
38;ENERGETIKA - POŽÁRNÍ BEZPEČNOST
39;ZBRANĚ PRO CIVILNÍ POTŘEBU
40;JADERNÁ TECHNIKA
41;HUTNICTVÍ - MATERIÁLOVÉ LISTY OCELÍ
42;HUTNICTVÍ
43;HUTNICTVÍ - STROJNÍ ZAŘÍZENÍ
44;HORNICTVÍ
45;HLUBINNÉ VRTÁNÍ A TĚŽBA NAFTY
46;ZEMĚDĚLSTVÍ
47;ZEMĚDĚLSKÉ A LESNICKÉ STROJE
48;LESNICTVÍ
49;PRŮMYSL DŘEVOZPRACUJÍCÍ
50;PRŮMYSL PAPÍRENSKÝ
51;STROJNÍ ZAŘÍZENÍ POTRAVINÁŘSKÉHO PRŮMYSLU
52;STROJNÍ ZAŘÍZENÍ POTRAVINÁŘSKÉHO PRŮMYSLU
53;STROJNÍ ZAŘÍZENÍ POTRAVINÁŘSKÉHO PRŮMYSLU
56;VÝROBKY POTRAVINÁŘSKÉHO PRŮMYSLU
57;VÝROBKY POTRAVINÁŘSKÉHO PRŮMYSLU
58;VÝROBKY POTRAVINÁŘSKÉHO PRŮMYSLU
62;PRŮMYSL GUMÁRENSKÝ, PRYŽ
63;PRŮMYSL GUMÁRENSKÝ, PRYŽOVÉ VÝROBKY
64;PLASTY
65;VÝROBKY CHEMICKÉHO PRŮMYSLU
66;VÝROBKY CHEMICKÉHO PRŮMYSLU
67;VÝROBKY CHEMICKÉHO PRŮMYSLU
68;VÝROBKY CHEMICKÉHO PRŮMYSLU
69;STROJNÍ ZAŘÍZENÍ CHEMICKÉHO PRŮMYSLU
70;VÝROBKY ZE SKLA A TAVENÝCH HORNIN
71;SKLO A TAVENÉ HORNINY - MATERIÁLOVÉ LISTY A VÝROBNÍ ZAŘÍZENÍ
72;STAVEBNÍ SUROVINY, MATERIÁLY A VÝROBKY
73;NAVRHOVÁNÍ A PROVÁDĚNÍ STAVEB
74;ČÁSTI STAVEB
75;VODNÍ HOSPODÁŘSTVÍ
76;Služby
77;OBALY A OBALOVÁ TECHNIKA
79;PRŮMYSL KOŽEDĚLNÝ
80;TEXTILNÍ SUROVINY A VÝROBKY
81;STROJNÍ ZAŘÍZENÍ TEXTILNÍHO PRŮMYSLU
82;STROJE A ZAŘÍZENÍ PRO ÚPRAVU POVRCHU
83;OCHRANA ŽIVOTNÍHO PROSTŘEDÍ, PRACOVNÍ A OSOBNÍ OCHRANA, BEZPEČNOST STROJNÍCH ZAŘÍZENÍ A ERGONOMIE
84;ZDRAVOTNICTVÍ
85;ZDRAVOTNICTVÍ
86;ZDRAVOTNICTVÍ
87;TELEKOMUNIKACE
88;PRŮMYSL POLYGRAFICKÝ
89;HUDEBNÍ NÁSTROJE
90;KANCELÁŘSKÉ, ŠKOLNÍ A KRESLICÍ POTŘEBY
91;VNITŘNÍ ZAŘÍZENÍ
93;VÝSTROJNÉ ZBOŽÍ
94;VÝSTROJNÉ ZBOŽÍ
95;VÝSTROJNÉ ZBOŽÍ
96;Kulturní dědictví
97;VÝMĚNA DAT
98;ZDRAVOTNICKÁ INFORMATIKA
99;METROLOGIE
01 00;Seznamy a předpisy o normách
01 01;Pojmy všech oborů a třídění
01 02;Vyvolená čísla, normální rozměry, statistické řízení jakosti apod.
01 03;Jakost
01 04;Formáty a písmo
01 05;Všeobecná terminologie
01 06;Oblast spolehlivosti v technice
01 08;Systémy managementu bezpečnosti a ochrany zdraví při práci
01 09;Systémy environmentálního managementu
01 10;Matematika
01 13;Fyzika
01 14;Mechanika
01 15;Management hospodaření s energií
01 16;Akustika
01 17;Optika
01 20;Nanotechnologie
01 23;Ochrana společnosti a obyvatel
01 27;Směrnice pro užití barev
01 28;Analytické normály
01 30;Všeobecné požadavky na technickou dokumentaci
01 31;Technické výkresy
01 32;Výkresy ve strojírenství
01 33;Značky pro elektrotechnická schémata
01 34;Výkresy ve stavebnictví
01 35;Výkresy různých oborů
01 36;Výkresy různých oborů
01 37;Dokumentační normy. Průmyslové systémy
01 38;Reprografie
01 39;Projektová a rozpočtová dokumentace
01 40;Závity
01 41;Nejistoty měření
01 42;Tolerance a uložení hladkých součástí
01 43;Tolerance a uložení závitových součástí
01 44;Tolerance tvaru a polohy, geometrie povrchu
01 46;Výpočtové hodnoty ozubených čelních kol
01 47;Výpočtové hodnoty ozubených kuželových a šnekových kol
01 48;Výpočtové hodnoty ozubených řetězových kol
01 49;Konstrukční směrnice (zaoblení, sražení hran, střední důlky, rýhování, vroubkování, drážkování, zápichy, přídavky na obrábění)
