"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";""
78683;"ČSN EN 45020";;"Normalizace a souvisící činnosti - Všeobecný slovník";10101;"VI.07";""
72379;"ČSN EN ISO/IEC 17000";;"Posuzování shody - Slovník a základní principy";10106;"III.05";""
71905;"ČSN EN 1325-2";;"Slovník hodnotového managementu, hodnotové analýzy a funkční analýzy - Část 2: Hodnotový management";10120;"III.05";""
67126;"ČSN ISO 5127";;"Informace a dokumentace - Slovník";10162;"V.03";""
61241;"ČSN ISO 3534-3";;"Statistika - Slovník a značky - Část 3: Navrhování experimentů";10216;"III.01";""
85042;"ČSN ISO 3534-1";;"Statistika - Slovník a značky - Část 1: Obecné statistické termíny a termíny používané v pravděpodobnosti";10216;"IV.10";""
86143;"ČSN ISO 3534-2";;"Statistika - Slovník a značky - Část 2: Aplikovaná statistika";10216;"IX.10";""
75682;"ČSN EN ISO 9000";;"Systémy managementu kvality - Základní principy a slovník";10300;"IV.06";""
83318;"ČSN EN ISO 9000";"Opr.1";"Systémy managementu kvality - Základní principy a slovník";10300;"V.09";""
65905;"ČSN ISO 1087-2";;"Terminologická práce - Slovník - Část 2: Počítačové aplikace";10501;"XII.02";""
63471;"ČSN ISO 1087-1";;"Terminologická práce - Slovník - Část 1: Teorie a aplikace";10501;"XII.02";""
85885;"ČSN ISO 14050";;"Environmentální management - Slovník";10950;"VI.10";""
86749;"ČSN ISO 14050";"Z1";"Environmentální management - Slovník";10950;"IX.10";""
86808;"ČSN ISO 2041";;"Vibrace, rázy a monitorování stavu - Slovník";11400;"X.10";""
67233;"ČSN ISO 1925";;"Vibrace - Vyvažování - Slovník";11401;"VI.03";""
58760;"ČSN ISO 5805";;"Vibrace a rázy - Expozice člověka - Slovník";11402;"V.00";""
92705;"ČSN ISO 13372";;"Monitorování stavu a diagnostika strojů - Slovník";11470;"IV.13";""
75578;"ČSN ISO 15261";;"Systémy generující vibrace a rázy - Slovník";11471;"IV.06";""
88262;"ČSN P ISO/TS 80004-3";;"Nanotechnologie - Slovník - Část 3: Uhlíkové nanoobjekty";12003;"VI.11";""
73194;"ČSN ISO 13715";;"Technické výkresy - Hrany neurčitých tvarů - Slovník a označování";13205;"VI.05";""
72218;"ČSN EN 61360-5";;"Normalizované typy datových prvků s klasifikačním schématem pro elektrické komponenty - Část 5: Doplňky ke schématu slovníku EXPRESS";13720;"II.05";""
65925;"ČSN EN 61360-2";;"Normalizované typy datových prvků s klasifikačním schématem pro elektrické komponenty - Část 2: Slovníkové schéma EXPRESS";13720;"XII.02";""
71451;"ČSN EN 61360-2";"A1";"Normalizované typy datových prvků s klasifikačním schématem pro elektrické komponenty - Část 2: Slovníkové schéma EXPRESS";13720;"XI.04";""
93334;"ČSN EN 61360-2";"Z1";"Normalizované typy datových prvků s klasifikačním schématem pro elektrické komponenty - Část 2: Slovníkové schéma EXPRESS";13720;"VII.13";""
86282;"ČSN ISO 5408";;"Závity - Slovník";14001;"VII.10";""
89675;"ČSN EN ISO 12780-1";;"Geometrické specifikace produktu (GPS) - Přímost - Část 1: Slovník a parametry přímosti";14140;"XII.11";""
89677;"ČSN EN ISO 12781-1";;"Geometrické specifikace produktu (GPS) - Rovinnost - Část 1: Slovník a parametry rovinnosti";14146;"XII.11";""
89673;"ČSN EN ISO 12181-1";;"Geometrické specifikace produktu (GPS) - Kruhovitost - Část 1: Slovník a parametry kruhovitosti";14151;"XII.11";""
89671;"ČSN EN ISO 12180-1";;"Geometrické specifikace produktu (GPS) - Válcovitost - Část 1: Slovník a parametry válcovitosti";14156;"XII.11";""
81539;"ČSN EN ISO 8062-1";;"Geometrické specifikace produktů (GPS) - Rozměrové a geometrické tolerance tvarovaných součástí - Část 1: Slovník";14460;"IX.08";""
71331;"ČSN ISO 17724";;"Grafické značky - Slovník";18012;"X.04";""
92413;"ČSN ISO 17724";"Opr.1";"Grafické značky - Slovník";18012;"III.13";""
88715;"ČSN ISO 14817";;"Inteligentní dopravní systémy (ITS) - Požadavky na centrální datový registr ITS a datový slovník ITS";18204;"IX.11";""
82152;"ČSN ISO 14827-2";;"Inteligentní dopravní systémy (ITS) - Datová rozhraní mezi centry dopravních informací a řídicími systémy - Část 2: Datový slovník DATEX-ASN";18270;"XI.08";""
88645;"ČSN ISO 22951";;"Datový slovník a sada zpráv pro systémy nuceného přerušení světelné signalizace a přidělení priority pro vozy záchranné služby a veřejné dopravy osob (PRESTO)";18274;"VII.11";""
81778;"ČSN ISO 17687";;"Inteligentní dopravní systémy - Obecné řízení vozového parku a provoz komerční nákladní dopravy - Datový slovník a soubory zpráv pro elektronickou identifikaci a monitorování dopravy nebezpečných materiálů/zboží";18310;"IX.08";""
61514;"ČSN ISO 6811";;"Kulová kluzná ložiska - Slovník";23501;"IV.01";""
60421;"ČSN ISO 5593";;"Valivá ložiska - Slovník";24601;"XII.00";""
83527;"ČSN ISO 5593";"Amd.1";"Valivá ložiska - Slovník";24601;"VI.09";""
71580;"ČSN EN ISO 7369";;"Potrubí - Kovové hadice a montáž hadic - Slovník";28301;"II.05";""
84916;"ČSN EN ISO 2080";;"Kovové a jiné anorganické povlaky - Povrchové úpravy, kovové a jiné anorganické povlaky - Slovník";38006;"XII.09";""
73221;"ČSN EN ISO 17659";;"Svařování - Vícejazyčný slovník termínů svarových spojů se zobrazením";50008;"VI.05";""
85328;"ČSN EN ISO 17677-1";;"Odporové svařování - Slovník - Část 1: Bodové, výstupkové a švové svařování";52610;"III.10";""
